,Club,Last Name,First Name,Pos,Base Salary,Guaranteed Compensation,Year
1,COL,Ababio,Eddie,D,32604.0,32604.0,2011
2,PHI,Adu,Freddy,M,475884.0,594884.0,2011
3,RSL,Agorsor,Christopher,F,32604.0,32604.0,2011
4,NY,Agudelo,Juan,F,55000.0,85000.0,2011
5,KC,Aiyegbusi,Olukorede,D,42000.0,42000.0,2011
6,VAN,Akloul,Mouloud,D,150000.0,150000.0,2011
7,COL,Akpan,Andre,F,48000.0,48000.0,2011
8,NY,Albright,Chris,D,100800.0,104133.33,2011
9,POR,Alexander,Eric,M,46750.0,46750.0,2011
10,RSL,Alexandre,Jean,M,42000.0,42000.0,2011
11,POR,Alhassan,Kalif,M,60000.0,69250.0,2011
12,SEA,Alonso,Osvaldo,M,140000.0,140000.0,2011
13,NE,Alston,Kevin,D,100000.0,149000.0,2011
14,LA,Alvarado,Sean,D,32604.0,32604.0,2011
15,RSL,Alvarez,Arturo,M-F,192585.0,201922.5,2011
16,COL,Amarikwa,Quincy,F,42000.0,42000.0,2011
17,SJ,Ampaipitakwong,Anthony,M,32600.04,32600.04,2011
18,CHV,Angel,Juan Pablo,F,1000000.0,1250000.0,2011
19,CHI,Anibaba,Jalil,D,42000.0,82000.0,2011
20,CLB,Anor,Bernardo,M,42000.0,42000.0,2011
21,RSL,Araujo Jr.,Paulo,F,42000.0,42000.0,2011
22,CHV,Arias,Sergio,GK,45000.0,45000.0,2011
23,COL,Armstrong,David,M,42000.0,51464.29,2011
24,KC,Arnaud,Davy,M,250000.0,258750.0,2011
25,RSL,Arnoux,Cody,F,65400.0,71650.0,2011
26,HOU,Ashe,Corey,M,80000.0,84500.0,2011
27,SJ,Attakora-Gyan,Nana,D,45000.0,45000.0,2011
28,NY,Auvray,Stephane,M,60000.0,80000.0,2011
29,TFC,Avila,Eric,M,100000.0,133000.0,2011
30,SJ,Baca,Rafael,M,32600.0,32600.0,2011
31,CLB,Balchan,Rich,D,42000.0,58875.0,2011
32,NY,Ballouchy,Mehdi,M,125625.0,125625.0,2011
33,CHI,Banner,Michael,D,42000.0,42000.0,2011
34,DC,Barklage,Brandon,M,42000.0,43566.67,2011
35,NE,Barnes,Darrius,D,60500.0,61750.0,2011
36,CHI,Barouch,Orr,F,32600.0,32600.0,2011
37,LA,Barrett,Chad,F,192000.0,225333.33,2011
38,RSL,Beckerman,Kyle,M,219996.0,231246.0,2011
39,LA,Beckham,David,M,5500000.08,6500000.04,2011
40,SJ,Beitashour,Steven,D,42000.0,42000.0,2011
41,RSL,Beltran,Anthony,D,100000.0,135500.0,2011
42,DAL,Benitez,Jair,D,150000.0,171250.0,2011
43,LA,Berhalter,Gregg,D,96000.0,96000.0,2011
44,KC,Besler,Matt,D,58410.0,69660.0,2011
45,SJ,Bingham,David,GK,60000.0,99500.0,2011
46,LA,Birchall,Chris,M,144000.0,157125.0,2011
47,NE,Boggs,Zak,F-M,42000.0,42000.0,2011
48,CHI,Bone,Corben,M,90000.0,151200.0,2011
49,RSL,Borchers,Nat,D,159996.0,169058.5,2011
50,TFC,Borman,Danleigh,M,42000.0,42000.0,2011
51,DC,Boskovic,Branko,M,389166.67,525366.67,2011
52,SEA,Boss,Terry,GK,42000.0,44500.0,2011
53,HOU,Boswell,Bobby,D,210000.0,210000.0,2011
54,TFC,Bouchiba,Elbekay,M,92004.0,92004.0,2011
55,CHV,Bowen,Tristan,F,75000.0,106363.63,2011
56,VAN,Boxall,Michael,D,42000.0,42000.0,2011
57,CHV,Boyens,Andrew,D,60000.0,60000.0,2011
58,CHV,Braun,Justin,F,85000.0,87500.0,2011
59,POR,Braun,Frederick,M,32600.04,32600.04,2011
60,KC,Bravo,Omar,F,120000.0,170000.0,2011
61,DC,Brettschneider,Blake,F,42000.0,42000.0,2011
62,VAN,Brovsky,Jeb,M,42000.0,42000.0,2011
63,POR,Brown,Adin,GK,72000.0,76000.0,2011
64,HOU,Bruin,Will,F,80000.0,125000.0,2011
65,POR,Brunner,Eric,D,70000.0,74250.0,2011
66,KC,Bunbury,Teal,F,85000.0,183000.0,2011
67,DC,Burch,Marc,D,95000.0,97500.0,2011
