,Year,Club,Name,Pos,Base Salary,Guaranteed Compensation
0,2008,LA,Vardan Adzemian,D,12900.0,12900.0
1,2008,LA,Charles Alamo,GK,12900.0,12900.0
2,2008,NE,Chris Albright,D,160000.0,160000.0
3,2008,HOU,Johnny Alcaraz,M,12900.0,12900.0
4,2008,LA,Ely Allen,F,12900.0,12900.0
5,2008,SJ,Arturo Alvarez,M,166250.0,175587.5
6,2008,NY,Juan Pablo Angel,F,1500000.0,1593750.0
7,2008,POOL,Jose Angulo,F,12900.0,12900.0
8,2008,SJ,Miguel Arce,F,12900.0,12900.0
9,2008,KC,Davy Arnaud,M,105000.0,106875.0
10,2008,HOU,Corey Ashe,M,33000.0,33000.0
11,2008,TFC,Nana Attakora-Gyan,D,12900.0,12900.0
12,2008,DAL,Eric Avila,M,45000.0,78000.0
13,2008,SJ,Jay Ayres,D,17700.0,17700.0
14,2008,NE,Gabriel Badilla,D,138000.0,138000.0
15,2008,COL,Mehdi Ballouchy,M,75000.0,93000.0
16,2008,CHI,Michael Banner,D,12900.0,12900.0
17,2008,LA,Jeremy Barlow,D,12900.0,12900.0
18,2008,TFC,Chad Barrett,F,53773.13,61273.13
19,2008,HOU,Wade Barrett,D,148838.0,148838.0
20,2008,RSL,Kyle Beckerman,M,143000.0,145500.0
21,2008,LA,David Beckham,M,5500000.08,6500000.04
22,2008,RSL,Anthony Beltran,D,55000.0,90500.0
23,2008,CHI,Cuauhtemoc Blanco,M,2492316.0,2666778.0
24,2008,LA,Scott Bolkan,M,12900.0,12900.0
25,2008,RSL,Nat Borchers,D,120000.0,127500.0
26,2008,NY,Danleigh Borman,M,17700.0,17700.0
27,2008,CHV,Jonathan Bornstein,D,77500.0,77500.0
28,2008,NY,Terry Boss,GK,33000.0,35500.0
29,2008,HOU,Robert Boswell,D,33000.0,33000.0
30,2008,LA,Tristan Bowen,F,45000.0,76363.63
31,2008,NY,Andrew Boyens,D,41250.0,43750.0
32,2008,CHV,Justin Braun,F,12900.0,12900.0
33,2008,TFC,Jim Brennan,D,175000.0,183250.0
34,2008,NE,Sam Brill,D,12900.0,12900.0
35,2008,CHI,C.J. Brown,D,111711.0,111711.0
36,2008,HOU,Kyle Brown,F,33000.0,33000.0
37,2008,LA,Edson Buddle,F,147000.0,157000.0
38,2008,DC,Marc Burch,D,33000.0,33000.0
39,2008,COL,Jose Burciaga,D,80000.0,82500.0
40,2008,CHV,Bobby Burling,D,17700.0,17700.0
41,2008,CLB,Kevin Burns,M,12900.0,12900.0
42,2008,COL,Preston Burpo,GK,55116.18,55116.18
43,2008,DAL,Ray Burse,GK,33000.0,33000.0
44,2008,CHI,Jon Busch,GK,80000.0,81250.0
45,2008,HOU,Tony Caig,GK,52596.0,52596.0
46,2008,HOU,Geoff Cameron,M,33000.0,33000.0
47,2008,SJ,Joe Cannon,GK,213000.0,213000.0
48,2008,CHI,Calen Carr,F,50600.0,63100.0
49,2008,DC,Fred Carreiro da Silva,M,210000.0,242000.0
50,2008,CLB,Brian Carroll,M,122500.0,126250.0
51,2008,DC,Jeff Carroll,D,12900.0,12900.0
52,2008,DC,Pat Carroll,D,12900.0,12900.0
53,2008,COL,Conor Casey,F,190008.0,190008.0
54,2008,NE,Mauricio Castro,M,90000.0,96250.0
55,2008,NY,Daniel Cepero,GK,12900.0,12900.0
56,2008,HOU,Michael Chabala,M,17700.0,17700.0
57,2008,CHV,Kraig Chiles,M,12900.0,12900.0
58,2008,HOU,Brian Ching,F,231000.0,231000.0
59,2008,NY,Gabriel Cichero,D,156000.0,157500.0
60,2008,COL,Colin Clark,M,33000.0,33000.0
61,2008,HOU,Ricardo Clark,M,225500.0,225500.0
62,2008,SJ,Ryan Cochrane,D,132000.0,133250.0
63,2008,COL,Nico Colaluca,M,70000.0,103000.0
64,2008,CHI,Wilman Conde,D,156000.0,163500.0
65,2008,NY,Jon Conway,GK,115000.0,115000.0
66,2008,COL,Terry Cooke,M,167500.0,172500.0
67,2008,DAL,Kenny Cooper,F,80000.0,83000.0
68,2008,DC,Ryan Cordeiro,M,17700.0,17700.0
69,2008,SJ,Ramiro Corrales,M,190000.0,202500.0
70,2008,COL,Bouna Coundoul,GK,33000.0,33000.0
71,2008,DC,Louis Crayton,GK,168000.0,175857.14
72,2008,NE,Adam Cristman,F,33000.0,33000.0
73,2008,LA,Steve Cronin,GK,75000.0,75000.0
74,2008,COL,Omar Cummings,F,33000.0,33000.0
75,2008,SJ,John Cunliffe,F,35500.0,50500.0
76,2008,DAL,Jeffrey Cunningham,F,245000.0,257500.0
77,2008,CHV,Jim Curtin,D,104004.0,104004.0
78,2008,RSL,Kenny Cutler,M,36000.0,36000.0
79,2008,COL,Greg Dalby,M,33000.0,33000.0
80,2008,DAL,Andrew Daniels,D,33000.0,33000.0
81,2008,DAL,Dulio Davino,D,400000.0,400000.0
82,2008,HOU,Brad Davis,M,126000.0,126000.0
